,Unnamed: 0_x,PMID,abstract,Unnamed: 0_y,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
10,10,28038884,"Improved education on appropriate photoprotection in children is vital. Photoprotection for these individuals should include seeking shade, the use of physical agents (clothing, hat, sunglasses), and application of sunscreens on exposed areas. Avoidance of the use of tanning beds is an important component of education for teenagers. Ultraviolet radiation exposure induces DNA damage and photoaging in all skin types, including people of color. The extent of such damage is inversely related to constitutive skin pigmentation. Therefore, personalized photoprotection recommendations concerning skin cancer risk factors, desired treatment outcomes, health needs (eg, vitamin D), and photoaging based on the needs and preferences of the patient are essential. It is clear that additional research is needed on optimal levels of protection against ultraviolet radiation for people of color. ",2010,Photoprotection in specific populations: Children and people of color,"Cestari T, Buster K.",J Am Acad Dermatol. 2017 Mar;76(3S1):S110-S121. doi: 10.1016/j.jaad.2016.09.039. Epub 2016 Dec 27.,Cestari T,J Am Acad Dermatol,2017,2017/01/01,,,10.1016/j.jaad.2016.09.039
11,11,7494083,"The prevalence of ocular disease among children in one school district in Los Angeles, California was studied to better understand the types of eye disorders among this population as well as to develop appropriate preventive programs. A computer-assisted retrospective analysis of date was performed from charts of 2,204 first grade children examined in the UCLA Mobile Eye Clinic. One or more ocular disorders were observed in 22.3 percent of the subjects. Uncorrected best monocular visual acuity was 20/40 or worse in 3.4 percent of the children. Refractive errors were diagnosed in 15.7 percent of the subjects, astigmatism in 7.6 percent, hyperopia in 6.2 percent, and myopia in 6.0 percent. Color vision deficiencies (red-green) were found in 2.6 percent of boys. The prevalences of heterophorias and heterotropias were 1.2 percent and 1.3 percent, respectively. The variety of ocular disorders diagnosed in this demographic setting attests to the importance of performing early and effective screening eye examinations for children. ",2011,A retrospective study of eye disease among first grade children in Los Angeles,"Choi TB, Lee DA, Oelrich FO, Amponash D, Bateman JB, Christensen RE.",J Am Optom Assoc. 1995 Aug;66(8):484-8.,Choi TB,J Am Optom Assoc,1995,1995/08/01,,,
12,12,16784078,"Atrioventricular valve repair with artificial chordal replacement has been widely used for congenital and acquired mitral valve abnormalities, but not for tricuspid valve abnormalities. A case is presented of dysplastic tricuspid valve that was successfully repaired using artificial chordae. A 2-year-old female presented with poor weight gain. Echocardiography revealed severe tricuspid regurgitation due to dysplastic tricuspid valve, poor coaptation by prolapse of the anterior leaflet, and tethering of the septal leaflet by short chordae. The prolapsed anterior leaflet was repaired with three pairs of 6-0 expanded polytetrafluoroethylene sutures. The short chordae of the septal leaflet were detached, and the septal and posterior leaflets were sutured together. Trivial tricuspid regurgitation was noted postoperatively. There was no tricuspid regurgitation during the follow up period of three years. The present case provides further evidence that artificial chordal replacement is a useful technique even for small children with congenitally abnormal tricuspid valves. ",2012,Repair of a dysplastic tricuspid valve using artificial chordae: case report,"Honjo O, Ishino K, Yoshizumi K, Kawada M, Ohtsuki S, Akagi T, Sano S.",J Heart Valve Dis. 2006 May;15(3):392-3.,Honjo O,J Heart Valve Dis,2006,2006/06/21,,,
13,13,36583891,"Hair microscopy is a fast and effortless diagnostic method for many diseases affecting hair in daily practice. Many diseases can present with hair shaft disorders in pediatric neurology practice. Children with pathological hair findings were included in our study. Microscopic evaluation of the hair was performed under light microscopy. The clinical findings, pathological hair shaft findings, laboratory tests, and final diagnosis of the patients were evaluated. In our study, 16 patients with rare pathological hair findings were identified. Of these 16 patients, nine were diagnosed with giant axonal neuropathy, three with Griscelli syndrome, two with Menkes disease, and two with autosomal recessive woolly hair disease. In hair inspection, curly and tangled hair in patients with giant axonal neuropathy; silvery blond hair in patients with Griscelli syndrome; sparse, coarse, and light-colored hair in patients with Menkes disease; and hypotrichosis in patients with autosomal recessive woolly hair were remarkable findings. Dystrophic hair was detected in most of the patients on light microscopy. In addition, signs of trichorrhexis nodosa, tricoptylosis, and pili torti were found. In particular, pigment deposition in the hair shaft of two patients diagnosed with Griscelli syndrome and pili torti findings in two patients with Menkes disease were the most important findings suggestingthe diagnosis. Detection of hair findings in the physical examination and performing light microscopic evaluation facilitates the diagnosis of rare diseases accompanied by hair findings. A hair examination should be performed as a part of physical and neurological examinationson eachpatient regardless of thecomplaint. ",2013,Evaluation of hair structural abnormalities in children with different neurological diseases,"Sevinç SH, Işıkay S.",Turk J Pediatr. 2022;64(6):1086-1105. doi: 10.24953/turkjped.2022.221.,Sevinç SH,Turk J Pediatr,2022,2022/12/30,,,10.24953/turkjped.2022.221
14,14,23929081,"To describe ocular features, management of cataract and functional outcomes in patients with persistent fetal vasculature. Retrospective, descriptive case series of patients with persistent fetal vasculature. Data were recorded from the Congenital Cataract Section of Federal University of São Paulo, Brazil from 2001 to 2012. All patients were evaluated for sex, age at diagnosis, systemic findings, laterality, age at surgery, and initial and final follow-up visual acuities. Follow-up and complications after cataract surgery were recorded. Ultrasound was performed in all cases and ocular eco-Doppler was performed in most. The study comprised 53 eyes from 46 patients. Age at diagnosis ranged from 5 days of life to 10 years-old (mean 22.7 months). Twenty-seven patients were male (58.7%). Persistent fetal vasculature was bilateral in 7 patients (15.2%). Forty-two eyes (79.2%) had combined (anterior and posterior forms) PFV presentation, 5 eyes (9.4%) had only anterior persistent fetal vasculature presentation and 6 eyes (11.3%) had posterior persistent fetal vasculature presentation. Thirty-eight eyes (71.7%) were submitted to cataract surgery. Lensectomy combined with anterior vitrectomy was performed in 18 eyes (47.4%). Phacoaspiration with intraocular lens implantation was performed in 15 eyes (39.5%), and without lens implantation in 5 eyes (13.2%). Mean follow-up after surgery was 44 months. Postoperative complications were posterior synechiae (3 cases), retinal detachment (2 cases), phthisis (3 cases), posterior capsular opacification (8 cases), inflammatory pupillary membrane (5 cases), glaucoma (4 cases), intraocular lens implantation displacement (1 case) and vitreous hemorrhage (2 cases). Complications were identified in 19 (50%) of the 38 operated eyes. Visual acuity improved after cataract surgery in 83% of the eyes. Patients with persistent fetal vasculature have variable clinical presentation. There is an association of persistent fetal vasculature with congenital cataract. Severe complications are related to cataract surgery in patients with persistent fetal vasculature, but 83% of the operated eyes improved visual acuity. ",2014,"Persistent fetal vasculature: ocular features, management of cataract and outcomes","Tartarella MB, Takahagi RU, Braga AP, Fortes Filho JB.",Arq Bras Oftalmol. 2013 May-Jun;76(3):185-8. doi: 10.1590/s0004-27492013000300011.,Tartarella MB,Arq Bras Oftalmol,2013,2013/08/10,,,10.1590/s0004-27492013000300011
15,15,30608445,"Deep vein thrombosis (DVT) is the formation of a blood clot formed in the deep veins of the lower limbs. Known genetic factors of DVT include deficiencies of antithrombin (AT), protein C, protein S, factor V Leiden mutation, and prothrombin G20210A mutation. Here, a 5-generation Chinese family with inherited DVT was recruited for genetic analysis. The patient came to see a doctor because of leg swelling. A color Doppler ultrasound examination showed extensive thrombosis within the deep veins of her left leg. Computed tomography angiography showed a pulmonary embolism in her right lower pulmonary artery. Type II AT deficiency lead to inherited DVT. Whole-exome sequencing and cosegregation analysis were carried for the DVT family. An unreported heterozygous missense variation, c.281T>C, was identified within the SERPINC1 gene. This missense variation of SERPINC1 leads to type II AT deficiency. This result further enriched the variation spectrum of the SERPINC1 gene. ",2015,A novel variation of SERPINC1 caused deep venous thrombosis in a Chinese family: A case report,"Peng Y, Wang T, Zheng Y, Lian A, Zhang D, Xiong Z, Hu Z, Xia K, Shu C.",Medicine (Baltimore). 2019 Jan;98(1):e13999. doi: 10.1097/MD.0000000000013999.,Peng Y,Medicine (Baltimore),2019,2019/01/05,PMC6344114,,10.1097/MD.0000000000013999
16,16,33763826,"Hepatic sinusoidal obstruction syndrome (SOS)/veno-occlusive disease is a life-threatening complication after hematopoietic stem cell transplantation (HSCT). We previously reported the efficacy of the Hokkaido Ultrasonography (US)-based scoring system (HokUS-10) for US findings. To establish easier-to-use criteria, we retrospectively evaluated US findings from 441 patients, including 30 patients with SOS using the HokUS-10 scoring system. Using logistic regression analysis, we established the novel diagnostic criteria HokUS-6. In the presence of ascites, US diagnosis was made in the presence of two of the following 6 parameters: moderate amount of ascites, the appearance of a paraumbilical vein blood flow signal, gallbladder wall thickening, portal vein dilatation, portal vein velocity decrease, and hepatic artery resistive index increase. The AUC, sensitivity, and specificity of HokUS-6 were 0.974 (95% confidence interval 0.962-0.990), 95.2%, and 96.9%, respectively. The scores were significantly higher in patients with severe SOS than in those with non-severe SOS (p = 0.013). Furthermore, the scores before HSCT were significantly higher in patients who developed SOS than in controls (p = 0.001). The HokUS-6 is an easy and useful way to diagnose and identify the risk of SOS. ",2016,Refined ultrasonographic criteria for sinusoidal obstruction syndrome after hematopoietic stem cell transplantation,"Nishida M, Sugita J, Takahashi S, Iwai T, Sato M, Kudo Y, Omotehara S, Horie T, Sakano R, Shibuya H, Yokota I, Iguchi A, Teshima T.",Int J Hematol. 2021 Jul;114(1):94-101. doi: 10.1007/s12185-021-03137-3. Epub 2021 Mar 24.,Nishida M,Int J Hematol,2021,2021/03/25,,,10.1007/s12185-021-03137-3
17,17,18434819,"Nasal reconstruction using the forehead flap is one of the oldest recorded reconstructive procedures. The forehead flap is considered a standard for reconstruction of large defect. Most of reports concerning the forehead flap in nasal reconstructions deal with adults. Nasal reconstruction in infants raises some controversies, and very few articles report nasal reconstruction in the infants. A 15-month-old boy was presented after subtotal nasal amputation, after a dog bite. Microsurgical replantation was performed, but proved unsuccessful. The wound healed with debridement and local care. At age 2, nasal reconstruction was performed with autogenous ear cartilage and forehead flap. The reconstructed nose currently appears to be of good color, texture match, and functional. To our knowledge, few reconstructions of acquired nasal deformities using a forehead flap have been previously reported in infants. This 2-year-old patient may be among the youngest to have undergone this procedure. The forehead flap can be applied in very young children with reasonable expectations of excellent functional and esthetic outcome. Long-term results remain to be seen regarding nasal function and growth. ",2017,Immediate or delayed nasal reconstruction in infant after subtotal amputation? Nasal reconstruction with forehead flap in a 2-year-old child,"Kadlub N, Persing JA, Shin JH.",Ann Plast Surg. 2008 May;60(5):487-90. doi: 10.1097/SAP.0b013e31816f85b6.,Kadlub N,Ann Plast Surg,2008,2008/04/25,,,10.1097/SAP.0b013e31816f85b6
18,18,31559928,"Engineered skin substitutes (ESS) containing human fibroblasts (hF) and human keratinocytes (hK) provide significant medical benefits for treatment of acute and chronic skin wounds, including, but not limited to, burns, burn scars, congenital skin lesions, and cutaneous ulcers. However, anatomic deficiencies, such as lack of pigment, can contribute to long-term morbidity, including hypopigmentation and reduced solar protection. To address the deficiency of hypopigmentation, ESS were populated sequentially with cultured hF, human melanocytes (hM), and hK to generate ESS with pigment (ESS-P). Constructs were incubated in media containing 0.0, 1.5, or 5.0 ng/mL keratinocyte growth factor (KGF), which promotes survival and differentiation of hM in ESS-P, and had media changed at 24 or 48 h intervals. ESS-P were evaluated  ",2018,Exogenous Keratinocyte Growth Factor Is Not Required for Pigmentation of Skin Substitutes with Three Isogeneic Cell Types,"Boyce ST, Supp DM, Lloyd CM.",Tissue Eng Part A. 2020 Feb;26(3-4):214-224. doi: 10.1089/ten.TEA.2019.0203. Epub 2019 Nov 1.,Boyce ST,Tissue Eng Part A,2020,2019/09/28,,,10.1089/ten.TEA.2019.0203
19,19,15078807,,2019,Multimedia articles. Images in cardiovascular medicine. Cervical origin of the subclavian artery: imaging of a rare but clinically relevant anomaly,"Greil GF, Kuettner A, Sieverding L, Schoebinger M, Meinzer HP, Rauch R, Schaefer JF, Claussen CD, Hofbeck M.",Circulation. 2004 Apr 13;109(14):e177-8. doi: 10.1161/01.CIR.0000121564.12555.8B.,Greil GF,Circulation,2004,2004/04/14,,,10.1161/01.CIR.0000121564.12555.8B
20,20,17923215,"Intralobar pulmonary sequestration is a rare congenital malformation of the lung, and identification of the aberrant artery from the systemic circulation to the sequestered lung is crucial in definitive surgery. Nowadays, various noninvasive imaging modalities such as helical computed tomography, magnetic resonance imaging, and color Doppler sonography have been developed. Among them, multidetector computed tomography angiography, which allows simultaneous imaging of the aberrant artery and venous drainage, has the potential to become the first-line examination in the preoperative assessment of pulmonary sequestration. In this article, we describe 2 cases of intralobar pulmonary sequestration, in which multidetector computed tomography angiography was useful in the preoperative management and surgery was successfully performed. ",2020,Preoperative evaluation of the aberrant artery in intralobar pulmonary sequestration using multidetector computed tomography angiography,"Fumino S, Iwai N, Kimura O, Ono S, Higuchi K.",J Pediatr Surg. 2007 Oct;42(10):1776-9. doi: 10.1016/j.jpedsurg.2007.07.028.,Fumino S,J Pediatr Surg,2007,2007/10/10,,,10.1016/j.jpedsurg.2007.07.028
21,21,8071458,,2021,The diverticular jet effect: color Doppler differentiation of bladder diverticula from other pelvic fluid collections,"Weingardt JP, Nemcek AA Jr, Miljkovic SC.",J Clin Ultrasound. 1994 Jul-Aug;22(6):397-400. doi: 10.1002/jcu.1870220607.,Weingardt JP,J Clin Ultrasound,1994,1994/07/01,,,10.1002/jcu.1870220607
